Year,State,wsc_total,wsc_reports,wsc_reports_with_findings,wsc_reports_ontime,wsc_reports_ext_timelines,wsc_pending,wsc_pending_due_proc,wsc_withdrawn,med_total,med_held,med_from_due_proc,med_agreed_from_due_proc,med_not_from_due_proc,med_agreed_not_from_due_proc,med_pending,med_withdrawn,dpc_total,dpc_resolutions,dpc_resolutions_settlements,dpc_adjudicated,dpc_decisions_ontime,dpc_decisions_ext_timeline,dpc_pending,dpc_withdrawn,edpc_total,edpc_resolutions,edpc_resolutions_settlements,edpc_adjudicated,edpc_placement_changes,edpc_pending,edpc_withdrawn
2014-2015,illinois,128,79,49,63,16,10,1,39,246,194,130,96,64,49,20,32,320,74,28,8,1,7,90,222,9,2,0,1,1,0,8
2014-2015,indiana,108,46,32,46,0,0,0,62,59,53,6,6,47,47,0,6,64,46,38,1,1,0,2,61,7,5,3,0,0,1,6
2014-2015,iowa,15,8,0,3,5,3,0,4,21,7,4,3,3,3,6,8,18,2,1,0,0,0,6,12,0,0,0,0,0,0,0
2014-2015,kansas,29,21,12,21,0,0,0,8,19,15,1,1,14,11,0,4,8,4,2,1,0,1,0,7,1,0,0,0,0,0,1
2014-2015,kentucky,10,7,6,3,4,0,0,3,14,14,9,7,5,5,0,0,21,6,1,0,0,0,10,11,0,0,0,0,0,0,0
2014-2015,louisiana,37,11,3,8,3,3,0,23,12,9,3,3,6,5,1,2,14,8,4,1,0,1,0,13,0,0,0,0,0,0,0
2014-2015,maine,22,2,1,2,0,0,0,20,74,50,32,18,18,13,0,24,39,4,1,1,0,1,3,35,4,0,0,0,0,0,4
2014-2015,maryland,94,72,67,70,2,4,1,18,253,129,59,51,70,54,13,111,211,71,43,15,5,10,25,171,0,0,0,0,0,0,0
2014-2015,massachusetts,393,274,188,274,0,26,14,93,1085,658,31,27,627,528,94,333,492,19,8,5,0,5,196,291,5,5,0,0,0,0,5
2014-2015,michigan,223,147,120,130,16,2,1,74,101,76,16,12,60,47,3,22,63,27,10,2,1,1,13,48,10,4,4,1,1,1,8
2014-2015,minnesota,87,66,45,63,3,3,1,18,71,32,1,0,31,26,9,30,18,10,4,1,1,0,3,14,2,1,1,0,0,0,2
2014-2015,mississippi,61,37,25,37,0,0,0,24,15,10,1,1,9,9,0,5,12,7,3,0,0,0,0,12,0,0,0,0,0,0,0
2014-2015,missouri,68,52,33,51,1,0,0,16,42,32,5,2,27,26,2,8,48,36,16,1,0,1,19,28,1,1,0,0,0,0,1
2014-2015,montana,5,1,1,1,0,0,0,4,2,2,1,0,1,1,0,0,3,2,0,0,0,0,3,0,0,0,0,0,0,0,0
2014-2015,nebraska,9,6,5,5,0,0,0,3,3,3,0,0,3,3,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2014-2015,nevada,15,12,8,8,0,0,0,3,4,3,2,2,1,1,0,1,83,81,65,2,1,1,11,70,0,0,0,0,0,0,0
2014-2015,new hampshire,36,18,12,16,2,0,0,18,37,36,14,14,22,16,0,1,38,5,2,5,4,1,0,33,2,0,0,1,0,0,1
2014-2015,new jersey,244,112,31,103,9,71,71,61,884,727,389,96,338,143,18,139,1211,13,8,52,45,5,269,890,14,1,1,2,0,0,12
2014-2015,new mexico,38,19,18,18,0,1,1,18,31,29,14,10,15,12,1,1,23,11,11,2,0,2,2,19,0,0,0,0,0,0,0
2014-2015,new york,276,175,151,166,7,0,0,101,337,218,20,15,198,178,2,117,5170,4797,231,459,94,300,1219,3492,34,25,3,6,2,4,24
2014-2015,north carolina,104,64,47,51,9,0,0,40,90,70,23,13,47,33,5,15,51,18,3,4,0,4,20,27,3,0,0,0,0,1,2
2014-2015,north dakota,5,1,0,1,0,0,0,4,6,5,0,0,5,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2014-2015,northern marianas,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,ohio,156,83,62,80,3,0,0,73,184,148,70,41,78,67,1,35,175,79,34,12,7,5,13,150,25,17,9,4,0,0,21
2014-2015,oklahoma,36,22,7,20,2,0,0,14,23,23,2,2,21,20,0,0,16,9,9,0,0,0,0,16,0,0,0,0,0,0,0
2014-2015,oregon,46,16,11,12,4,10,0,20,52,30,4,4,26,22,12,10,14,2,0,1,0,1,1,12,0,0,0,0,0,0,0
2014-2015,pennsylvania,225,96,62,93,3,4,4,125,386,186,19,10,167,135,57,143,804,503,167,65,17,47,178,561,20,12,5,5,0,0,15
2014-2015,puerto rico,35,28,20,25,3,0,0,7,747,351,317,302,34,34,0,396,2354,353,231,1628,931,84,87,639,0,0,0,0,0,0,0
2014-2015,republic of palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,republic of the marshall islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,rhode island,17,15,10,15,0,0,0,2,57,42,2,1,40,0,0,15,29,15,9,5,2,3,3,21,0,0,0,0,0,0,0
